date,limit_up,limit_down,up_count,down_count,flat_count,bomb_count,bomb_ratio,limit_up_strong,advance_decline,limit_ratio,gap_up_pct,total_amount,total_volume,valid_stocks,max_streak,avg_limit_vol,breadth,sentiment_score,sentiment_ma5,sentiment_ma20,market_temp,phase
2022-04-07,18,17,172,1212,12,18,0.5,5,0.1419141914191419,1.0588235294117647,0.22421203438395415,326530648095.0,31708742696.0,1396,2,72333246.44444445,-0.7449856733524355,-22.97374906986636,1.804420490152765,0.42702145744043046,24.179303848388383,极度冰点
2022-04-08,28,9,503,868,24,12,0.3,8,0.5794930875576036,3.111111111111111,0.42939068100358424,323341440841.5,31376454490.0,1395,3,109044971.89285715,-0.2616487455197133,-7.989471009563411,-3.5710665268423556,0.5774325287576159,33.16931709815528,极度冰点
2022-04-11,20,22,197,1188,10,36,0.6428571428571429,10,0.16582491582491582,0.9090909090909091,0.2637992831541219,342233106377.5,32265817529.0,1395,1,46673259.1,-0.7103942652329749,-20.328195289785075,-7.668988533879076,-1.4227257981407668,25.766538377818947,极度冰点
2022-04-12,40,8,1129,246,20,22,0.3548387096774194,5,4.5894308943089435,5.0,0.30752688172043013,324627974048.0,31169345552.0,1395,2,65894048.225,0.6329749103942652,19.385234492531417,-3.2830534788516736,-0.9660075202569031,49.59312905505405,狂热
2022-04-13,25,24,261,1118,18,22,0.46808510638297873,5,0.2334525939177102,1.0416666666666667,0.19183965640658554,307843798706.25,30392834547.0,1397,3,60913241.84,-0.6134574087329993,-20.421575709221408,-10.465551317180969,-0.6794460887288574,25.710513576048516,极度冰点
2022-04-14,34,7,950,395,53,16,0.32,10,2.4050632911392404,4.857142857142857,0.6216022889842633,299705625598.5,28872331140.0,1398,4,59007394.35294118,0.3969957081545064,10.127187030029171,-3.8453640972018617,1.161595795486127,44.03864261133523,狂热
2022-04-15,14,24,282,1094,21,20,0.5882352941176471,6,0.2577696526508227,0.5833333333333334,0.16964924838940587,321668649356.5,30418398345.0,1397,5,62679881.21428572,-0.5812455261274159,-18.027196956808183,-5.852909286650816,-1.2511666798142813,27.14705236840993,极度冰点
2022-04-18,22,18,749,593,54,16,0.42105263157894735,2,1.2630691399662732,1.2222222222222223,0.17765042979942694,262427337001.0,25301665614.0,1396,1,47923378.40909091,0.11174785100286533,-1.7747079553806477,-2.142211819769931,-2.5543377564107566,36.89794532945328,偏冷
2022-04-19,22,7,887,466,44,13,0.37142857142857144,3,1.9034334763948497,3.142857142857143,0.36292054402290624,265400968781.75,24678376630.0,1397,2,48971994.5,0.3013600572655691,4.691477726525528,-5.080963172971108,-3.111057222792119,40.77741784870619,狂热
2022-04-20,20,3,366,1006,25,11,0.3548387096774194,5,0.36381709741550694,6.666666666666667,0.42376521116678595,275615358678.5,27444625881.0,1397,3,50223587.75,-0.4581245526127416,-16.819011675200443,-4.360450366166916,-4.524741040202685,27.87191890159327,极度冰点
2022-04-21,10,37,92,1305,1,16,0.6153846153846154,4,0.07049808429118774,0.2702702702702703,0.20243204577968527,289170325093.5,29514719884.0,1398,4,56544849.2,-0.8676680972818311,-28.91629080489083,-12.169145933150915,-5.932234594990583,20.613998351509295,极度冰点
2022-04-22,23,29,456,910,31,14,0.3783783783783784,5,0.5010989010989011,0.7931034482758621,0.1875447387258411,245035530484.0,24839061790.0,1397,5,45884954.47826087,-0.3249821045096636,-16.035327915761883,-11.770772124941654,-6.604954565596385,28.342100204464614,极度冰点
2022-04-25,9,364,41,1357,1,7,0.4375,3,0.03021370670596905,0.024725274725274724,0.061472480343102216,286516195228.0,30354031895.0,1399,1,51553261.0,-0.9406719085060757,-40.340536173681265,-19.48393776860178,-7.668228791640985,13.759873193080562,极度冰点
