,date,open,high,low,close,volume,amount,outstanding_share,turnover
171,2020-09-15,5.42,6.12,5.42,5.89,276779657.0,2313588481.0,2300759051.0,0.12029927987448348
172,2020-09-16,5.79,5.89,5.65,5.76,181404715.0,1487154121.0,2300759051.0,0.07884559442291639
173,2020-09-17,5.76,5.81,5.64,5.7,104320392.0,851143736.0,2300759051.0,0.04534172839813812
174,2020-09-18,5.77,5.91,5.59,5.77,114641893.0,937611570.0,2300759051.0,0.04982785700665706
175,2020-09-21,5.96,6.06,5.77,5.79,132926645.0,1113912601.0,2300759051.0,0.05777512640544644
176,2020-09-22,5.63,5.8,5.57,5.58,91491981.0,740305163.0,2300759051.0,0.03976599851263608
177,2020-09-23,5.65,5.66,5.46,5.51,74988566.0,591136962.0,2300759051.0,0.032592967945690374
178,2020-09-24,5.5,5.56,5.29,5.29,64987894.0,498196709.0,2300759051.0,0.028246284186844214
179,2020-09-25,5.37,5.64,5.32,5.35,82744701.0,644364085.0,2300759051.0,0.03596408801001388
180,2020-09-28,5.34,5.4,5.2,5.21,47576480.0,357577211.0,2300759051.0,0.020678601689873347
181,2020-09-29,5.3,5.32,5.21,5.24,35874985.0,269716492.0,2300759051.0,0.015592673637166536
182,2020-09-30,5.29,5.3,5.11,5.14,39105721.0,289344153.0,2300759051.0,0.016996878044662312
183,2020-10-09,5.24,5.37,5.23,5.3,46613934.0,352600527.0,2300759051.0,0.020260241497144067
184,2020-10-12,5.45,5.51,5.3,5.46,111934623.0,862143577.0,2300759051.0,0.04865117142594694
185,2020-10-13,5.46,5.56,5.37,5.51,78941003.0,617189496.0,2300759051.0,0.03431085187546656
186,2020-10-14,5.5,5.56,5.3,5.32,97135608.0,746214064.0,2300759051.0,0.04221893985716629
187,2020-10-15,5.33,5.34,5.2,5.2,54841143.0,410372352.0,2300759051.0,0.023836108772956426
188,2020-10-16,5.22,5.25,5.13,5.18,40315636.0,297374165.0,2300759051.0,0.017522754493773367
189,2020-10-19,5.23,5.26,5.12,5.13,39763305.0,293752192.0,2300759051.0,0.017282689807399568
190,2020-10-20,5.14,5.29,5.11,5.28,44392254.0,329698933.0,2300759051.0,0.019294612350087413
191,2020-10-21,5.26,5.35,5.17,5.23,50371531.0,376959567.0,2300759051.0,0.02189344033140131
192,2020-10-22,5.18,5.34,5.18,5.3,53916003.0,406459439.0,2300759051.0,0.02343400669295031
193,2020-10-23,5.35,5.41,5.14,5.18,56753275.0,427970367.0,2300759051.0,0.02466719623479599
194,2020-10-26,5.13,5.32,5.08,5.27,59305048.0,441133858.0,2300759051.0,0.02577629672877901
195,2020-10-27,5.23,5.27,5.08,5.13,49739211.0,365185552.0,2300759051.0,0.021618609292607754
196,2020-10-28,5.12,5.14,4.95,5.13,53582515.0,385029772.0,2300759051.0,0.02328905974604813
197,2020-10-29,5.04,5.15,5.01,5.06,34886963.0,252818168.0,2300759051.0,0.01516324057698991
198,2020-10-30,5.06,5.09,4.8,4.8,58865589.0,414425285.0,2300759051.0,0.02558529063459066
199,2020-11-02,4.84,4.88,4.72,4.82,35798390.0,245340556.0,2300759051.0,0.015559382450083427
200,2020-11-03,4.86,4.95,4.8,4.92,33873423.0,237123020.0,2300759051.0,0.01472271639452088
201,2020-11-04,4.96,4.96,4.82,4.88,28728497.0,199866981.0,2300759051.0,0.01248653003777752
202,2020-11-05,4.95,5.02,4.9,5.0,43029619.0,304833228.0,2300759051.0,0.018702357807219162
203,2020-11-06,5.09,5.23,5.02,5.06,72769554.0,531075084.0,2300759051.0,0.0316284984159343
204,2020-11-09,5.05,5.18,5.04,5.15,57828770.0,423273202.0,2300759051.0,0.025134648486926675
205,2020-11-10,5.16,5.16,4.99,5.0,48779219.0,350902508.0,2300759051.0,0.021201359168313883
206,2020-11-11,5.0,5.01,4.88,4.89,33369514.0,234200005.0,2300759051.0,0.01450369780594639
207,2020-11-12,4.93,4.95,4.85,4.88,27048603.0,188609068.0,2300759051.0,0.011756382307066713
208,2020-11-13,4.9,4.93,4.83,4.93,28442182.0,198002737.0,2300759051.0,0.012362086324353658
209,2020-11-16,4.96,4.97,4.88,4.92,24221550.0,169770287.0,2300759051.0,0.010527634342880175
210,2020-11-17,4.92,4.93,4.78,4.85,33226741.0,229056787.0,2300759051.0,0.014441643067994607
211,2020-11-18,4.84,4.88,4.82,4.83,23513694.0,162498394.0,2300759051.0,0.010219972399882564
212,2020-11-19,4.82,4.86,4.78,4.84,24628405.0,169565113.0,2300759051.0,0.01070446946163073
213,2020-11-20,4.83,4.87,4.82,4.85,24411360.0,168526670.0,2300759051.0,0.010610133203383408
214,2020-11-23,4.84,4.85,4.69,4.73,52985429.0,358101378.0,2300759051.0,0.02302954278370456
215,2020-11-24,4.74,4.76,4.7,4.71,23409416.0,157666780.0,2300759051.0,0.010174649096708042
216,2020-11-25,4.72,4.73,4.59,4.59,37864086.0,251095239.0,2300759051.0,0.016457214841138094
217,2020-11-26,4.6,4.69,4.59,4.63,22880516.0,151113150.0,2300759051.0,0.009944768440682752
218,2020-11-27,4.63,4.64,4.53,4.59,23008880.0,150250504.0,2300759051.0,0.010000560462860915
219,2020-11-30,4.58,4.68,4.57,4.6,24573555.0,162185823.0,2300759051.0,0.010680629503258661
220,2020-12-01,4.59,4.69,4.59,4.68,29683443.0,197299197.0,2300759051.0,0.012901586972828994
221,2020-12-02,4.67,4.7,4.63,4.66,26730163.0,177759344.0,2300759051.0,0.011617975810366594
222,2020-12-03,4.68,4.69,4.63,4.65,20570261.0,136547238.0,2300759051.0,0.008940641129308764
223,2020-12-04,4.64,4.66,4.58,4.61,19464550.0,127934196.0,2300759051.0,0.00846005582007379
224,2020-12-07,4.57,4.57,4.33,4.35,62139842.0,390200489.0,2300759051.0,0.02700840923476606
225,2020-12-08,4.35,4.39,4.33,4.36,21388123.0,132866747.0,2300759051.0,0.00929611598863596
226,2020-12-09,4.36,4.38,4.25,4.27,31316782.0,191827701.0,2300759051.0,0.013611500077067393
227,2020-12-10,4.26,4.28,4.21,4.22,26542070.0,160535871.0,2300759051.0,0.011536223225315044
228,2020-12-11,4.24,4.24,4.09,4.14,37826518.0,223264111.0,2300759051.0,0.016440886316869692
229,2020-12-14,4.13,4.2,4.09,4.19,21958552.0,130505862.0,2300759051.0,0.009544046774674625
230,2020-12-15,4.21,4.32,4.18,4.24,29060194.0,175685676.0,2300759051.0,0.012630698545929572
231,2020-12-16,4.24,4.24,4.1,4.17,26640004.0,158194271.0,2300759051.0,0.011578789177606933
232,2020-12-17,4.15,4.22,4.1,4.2,24239658.0,144323916.0,2300759051.0,0.010535504788936719
233,2020-12-18,4.22,4.24,4.13,4.15,20647155.0,123126625.0,2300759051.0,0.008974062273503145
234,2020-12-21,4.14,4.23,4.11,4.22,21496290.0,128609722.0,2300759051.0,0.00934312960353535
235,2020-12-22,4.22,4.27,4.17,4.18,29550974.0,177753219.0,2300759051.0,0.012844010756865648
236,2020-12-23,4.2,4.24,4.15,4.19,22847844.0,136293571.0,2300759051.0,0.009930567909781527
237,2020-12-24,4.14,4.15,3.9,3.96,51473511.0,292879847.0,2300759051.0,0.02237240400189998
238,2020-12-25,3.96,4.02,3.94,3.99,23950285.0,135948865.0,2300759051.0,0.010409731948936707
239,2020-12-28,4.01,4.1,3.89,4.05,38413346.0,219672006.0,2300759051.0,0.01669594475062656
240,2020-12-29,4.06,4.29,4.05,4.17,46905550.0,280810306.0,2300759051.0,0.0203869892327982
241,2020-12-30,4.15,4.22,4.12,4.17,27397236.0,162772453.0,2300759051.0,0.011907911864170256
242,2020-12-31,4.19,4.23,4.11,4.21,30323242.0,180983168.0,2381485290.0,0.012732911736775834
243,2021-01-04,4.22,4.29,4.17,4.25,41506694.0,249708271.0,2381485290.0,0.01742891050987764
244,2021-01-05,4.24,4.25,4.15,4.21,32202560.0,192409702.0,2381485290.0,0.01352204867072683
245,2021-01-06,4.34,4.44,4.22,4.23,66601854.0,408841282.0,2381485290.0,0.027966519163341128
246,2021-01-07,4.2,4.21,3.98,4.03,48680054.0,282222764.0,2381485290.0,0.020441047527948408
247,2021-01-08,4.05,4.44,4.04,4.36,101604356.0,630081656.0,2381485290.0,0.04266428032398218
248,2021-01-11,4.3,4.4,4.24,4.29,54216894.0,333676606.0,2381485290.0,0.022765999952911738
249,2021-01-12,4.32,4.42,4.28,4.37,52388950.0,324486957.0,2381485290.0,0.021998435270620547
250,2021-01-13,4.36,4.36,4.19,4.26,46673100.0,282703226.0,2381485290.0,0.01959831546975459
251,2021-01-14,4.22,4.31,4.19,4.24,33915236.0,205817069.0,2381485290.0,0.014241211626379603
252,2021-01-15,4.3,4.38,4.24,4.32,41559953.0,255405417.0,2381485290.0,0.01745127428437738
253,2021-01-18,4.33,4.37,4.28,4.32,35995508.0,221608896.0,2381485290.0,0.015114730353845687
254,2021-01-19,4.31,4.43,4.28,4.41,58716049.0,364822761.0,2381485290.0,0.02465522220378695
255,2021-01-20,4.39,4.39,4.31,4.31,38634886.0,238649832.0,2381485290.0,0.016223021054226204
256,2021-01-21,4.3,4.49,4.29,4.39,61694362.0,388506282.0,2381485290.0,0.02590583374965965
257,2021-01-22,4.4,4.42,4.27,4.29,41690432.0,256303431.0,2381485290.0,0.017506063201423342
258,2021-01-25,4.26,4.36,4.24,4.25,34980582.0,213679635.0,2381485290.0,0.014688556820772972
259,2021-01-26,4.29,4.45,4.23,4.4,67291183.0,418350927.0,2381485290.0,0.02825597255736146
260,2021-01-27,4.38,4.72,4.36,4.63,116683553.0,767372894.0,2381485290.0,0.04899612585891723
261,2021-01-28,4.73,4.85,4.58,4.63,106616449.0,714658323.0,2381485290.0,0.04476888832683069
262,2021-01-29,4.61,4.63,4.43,4.5,69988373.0,450362931.0,2381485290.0,0.029388538864332014
263,2021-02-01,4.5,4.59,4.43,4.55,47953229.0,308202312.0,2381485290.0,0.02013584933795665
264,2021-02-02,4.56,4.65,4.46,4.62,54803716.0,356895578.0,2381485290.0,0.023012410040962293
265,2021-02-03,4.58,4.58,4.43,4.44,39578468.0,253997757.0,2381485290.0,0.016619236812502
266,2021-02-04,4.43,4.52,4.2,4.31,48444333.0,298594281.0,2381485290.0,0.02034206686197923
267,2021-02-05,4.44,4.58,4.22,4.23,50157254.0,314935283.0,2381485290.0,0.021061332694605896
268,2021-02-08,4.21,4.21,3.98,4.14,40150629.0,234275445.0,2381485290.0,0.01685949065845374
269,2021-02-09,4.15,4.21,4.1,4.17,29211400.0,173060822.0,2381485290.0,0.012266042592268121
270,2021-02-10,4.16,4.28,4.15,4.17,27495230.0,164186718.0,2381485290.0,0.011545412484995866
271,2021-02-18,4.26,4.37,4.26,4.29,37327230.0,229614645.0,2381485290.0,0.015673928433125026
272,2021-02-19,4.3,4.55,4.26,4.53,58191724.0,367579799.0,2381485290.0,0.024435054982010828
273,2021-02-22,4.53,4.62,4.48,4.5,59452201.0,385529676.0,2381485290.0,0.024964336857188817
274,2021-02-23,4.48,4.54,4.4,4.43,38898191.0,247301035.0,2381485290.0,0.016333584407737408
275,2021-02-24,4.44,4.57,4.42,4.48,42185617.0,270928281.0,2381485290.0,0.01771399436189673
276,2021-02-25,4.52,4.53,4.42,4.44,30175611.0,191096693.0,2381485290.0,0.012670920591745499
